bioproject,sra
579449,"9273334, 9273333, 9273332, 9273331, 9273330, 9273329, 9273328, 9273327, 9273326, 9273325, 9273324, 9273323, 9273322, 9273321, 9273320, 9273319, 9273318, 9273317, 9273316, 9273315, 9273314, 9273313, 9273312, 9273311, 9273310, 9273309, 9273308, 9273307, 9273306"
566041,"9032262, 9032261, 9032260, 9032259, 9032258, 9032257"
565436,"9013400, 9013399, 9013398, 9013397, 9013396, 9013395, 9013394, 9013393, 9013392, 9013391, 9013390, 9013389, 9013388, 9013387, 9013386, 9013385, 9013384, 9013383, 9013382, 9013381, 9013380, 9013379, 9013378, 9013377, 9013376, 9013375, 9013374, 9013373, 9013372, 9013371, 9013370, 9013369, 9013368, 9013367, 9013366, 9013365, 9013364, 9013363"
560818,"8865005, 8865004, 8865003, 8865002, 8865001, 8865000, 8864999, 8864998, 8864997, 8864996, 8864995, 8864994, 8864993, 8864992, 8864991, 8864990, 8864989, 8864988, 8864987, 8864986, 8864985, 8864984, 8864983, 8864982, 8864981, 8864980, 8864979, 8864978, 8864977, 8864976, 8864975, 8864974, 8864973, 8864972, 8864971, 8864970, 8864969, 8864968, 8864967, 8864966, 8864965, 8864964, 8864963, 8864962, 8864961, 8864960, 8864959, 8864958, 8864957, 8864956, 8864955, 8864954, 8864953, 8864952, 8864951, 8864950"
529845,"7551282, 7551281, 7551280, 7551279, 7551278, 7551277, 7551276, 7551275, 7551274, 7551273, 7551272, 7551271"
522050,"7261987, 7261986, 7261985, 7261984, 7261983, 7261982"
509718,"7921552, 7921551, 7921550, 7921549, 7921548, 7921547, 7921546, 7921545, 7921543, 7921542, 7921541, 7921540, 7921539, 7921538, 7921537, 7921536, 7921535, 7921534, 7921533, 7921509, 7921508, 7921507, 7921506, 7921505, 7921504, 7921503, 7921502, 7921501, 7921500, 7921461, 7921460, 7921459, 7921458, 7921457, 7921456, 7921455, 7921454, 7921453, 7921452, 7921451, 7921450, 7921414, 7921413, 7921412, 7921411, 7921410, 7921409, 7921408, 7921407, 7921406, 7921405, 7921404, 7921403, 7921402, 7921401, 7921400, 7921399, 7921398, 7921397, 7921396, 7921395, 7921382, 7921381, 7921380, 7921379, 7921378, 7921377, 7921376, 7921375, 7921374, 7921373, 7921361, 7921360, 7921357, 7921356, 7921355, 7921354, 7921299, 7921298, 7921297, 7921296, 7921295, 7921294, 7921293, 7921292, 7921290, 7921289, 7921287, 7921285, 7921284, 7921283, 7921282, 7921281, 7921280, 7921279, 7921278, 7921277, 7921276, 7921265, 7921264, 7921263, 7921262, 7921261, 7921260, 7921259, 7921258, 7921257, 7921256, 7921255, 7921254, 7921253, 7921252, 7921251, 7921250, 7921249, 7921248, 7921247, 7921246, 7921224, 7921223, 7921222, 7921221, 7921220, 7921219, 7921218, 7921217, 7921216, 7921215, 7921198, 7921197, 7921195, 7921194, 7921193, 7921192, 7921191, 7921189, 7921188, 7921186, 7921185, 7921184, 7921183, 7921182, 7921181, 7921180, 7921179, 7921178, 7921177, 7921166, 7921165, 7921164, 7921163, 7921162, 7921161, 7921160, 7921159, 7921158, 7921157, 7921156, 7921155, 7921150, 7921149, 7921128, 7921127, 7921126, 7921125, 7921124, 7921123, 7921122, 7921121, 7921120, 7921119, 7921116, 7921115, 7921114, 7921113, 7921112, 7921111, 7921110, 7921109, 7921107, 7921554, 7921553, 7921544, 7921532, 7921531, 7921530, 7921529, 7921528, 7921527, 7921526, 7921525, 7921524, 7921523, 7921522, 7921520, 7921519, 7921518, 7921517, 7921515, 7921514, 7921511, 7921510, 7921499, 7921498, 7921497, 7921496, 7921495, 7921494, 7921493, 7921492, 7921491, 7921490, 7921489, 7921488, 7921487, 7921486, 7921484, 7921483, 7921482, 7921481, 7921480, 7921479, 7921478, 7921477, 7921476, 7921475, 7921474, 7921473, 7921447, 7921446, 7921445, 7921444, 7921443, 7921442, 7921441, 7921440, 7921439, 7921438, 7921436, 7921435, 7921434, 7921433, 7921432, 7921431, 7921430, 7921429, 7921427, 7921426, 7921424, 7921423, 7921422, 7921421, 7921420, 7921419, 7921418, 7921417, 7921416, 7921415, 7921371, 7921370, 7921369, 7921368, 7921367, 7921366, 7921365, 7921364, 7921363, 7921362, 7921359, 7921358, 7921353, 7921352, 7921341, 7921340, 7921339, 7921338, 7921337, 7921336, 7921335, 7921334, 7921333, 7921332, 7921331, 7921330, 7921329, 7921328, 7921327, 7921326, 7921325, 7921324, 7921323, 7921322, 7921321, 7921320, 7921319, 7921318, 7921317, 7921316, 7921315, 7921314, 7921313, 7921312, 7921311, 7921310, 7921309, 7921308, 7921307, 7921306, 7921305, 7921304, 7921303, 7921302, 7921244, 7921243, 7921242, 7921241, 7921240, 7921239, 7921238, 7921237, 7921236, 7921235, 7921234, 7921233, 7921232, 7921231, 7921230, 7921229, 7921228, 7921227, 7921226, 7921225, 7921214, 7921203, 7921202, 7921196, 7921154, 7921153, 7921152, 7921151, 7921148, 7921147, 7921146, 7921145, 7921144, 7921143, 7921142, 7921141, 7921140, 7921139, 7921138, 7921137, 7921136, 7921135, 7921134, 7921133, 7921132, 7921131, 7921130, 7921129, 7921521, 7921516, 7921513, 7921512, 7921485, 7921472, 7921471, 7921470, 7921469, 7921468, 7921467, 7921466, 7921465, 7921464, 7921463, 7921462, 7921449, 7921448, 7921437, 7921428, 7921425, 7921394, 7921393, 7921392, 7921391, 7921390, 7921389, 7921388, 7921387, 7921386, 7921385, 7921384, 7921383, 7921372, 7921351, 7921350, 7921349, 7921348, 7921347, 7921346, 7921345, 7921344, 7921343, 7921342, 7921301, 7921300, 7921291, 7921288, 7921286, 7921275, 7921274, 7921273, 7921272, 7921271, 7921270, 7921269, 7921268, 7921267, 7921266, 7921245, 7921213, 7921212, 7921211, 7921210, 7921209, 7921208, 7921207, 7921206, 7921205, 7921204, 7921201, 7921200, 7921199, 7921190, 7921187, 7921176, 7921175, 7921174, 7921173, 7921172, 7921171, 7921170, 7921169, 7921168, 7921167, 7921118, 7921117, 7921108"
494637,"6533963, 6533962, 6533961, 6533960, 6533959, 6533958, 6533957, 6533956, 6533955, 6533954, 6533953, 6533952, 6533951, 6533950, 6533949, 6533948, 6533947, 6533946, 6533945, 6533944, 6533943"
487286,"7201602, 7201601, 7201600, 7201599, 7201598, 7201597, 7201596, 7201595"
480305,"5939946, 5939945, 5939944, 5939943, 5939942, 5939941, 5939940, 5939939, 5939938, 5939937, 5939936, 5939935, 5939934, 5939933, 5939932, 5939931, 5939930, 5939929, 5939928, 5939927"
479761,"5897969, 5897968, 5897967, 5897966, 5897965, 5897964, 5897963, 5897962, 5897961, 5897960, 5897959, 5897958, 5897957, 5897956, 5897955, 5897954, 5897953, 5897952, 5897951, 5897950, 5897949, 5897948, 5897947, 5897946, 5897945, 5897944, 5897943, 5897942, 5897941, 5897940, 5897939, 5897938, 5897937, 5897936, 5897935, 5897934, 5897933, 5897932, 5897931, 5897930, 5897929, 5897928, 5897927"
471454,"5861670, 5861669, 5861668, 5861667, 5861666, 5861665, 5861664, 5861663, 5861662, 5861661, 5861660, 5861659, 5861658, 5861657, 5861656, 5861655, 5861654, 5861653, 5861652, 5861651, 5861650, 5861649, 5861648, 5861647, 5861646, 5861645, 5861644, 5861643, 5861642, 5861641, 5861640, 5861621, 5861620, 5861619, 5861618, 5861617, 5861616, 5861615, 5861614, 5861613, 5861612, 5861611, 5861610, 5861609, 5861608, 5861607, 5861606, 5861605, 5861604, 5861603, 5861602, 5861601, 5861600, 5861599, 5861598, 5861597, 5861596, 5861595, 5861594, 5861593, 5861592, 5861591, 5851666, 5851665, 5851664, 5851663, 5851662, 5851661, 5851660, 5851659, 5851658, 5851657, 5851656, 5851655, 5851654, 5851653, 5851652, 5851651, 5851650, 5851649, 5851648, 5851647, 5851646, 5851645, 5851644, 5851643, 5851642, 5851641, 5851640, 5851639, 5851638, 5851637, 5851636, 5850463, 5850462, 5850461, 5850460, 5850459, 5850458, 5850457, 5850456, 5850455, 5850454, 5850453, 5850452, 5850451, 5850450, 5850449, 5850448, 5850447, 5850446, 5850445, 5850444, 5850443, 5850442, 5850441, 5850440, 5850439, 5850438, 5850437, 5850436, 5850435, 5850434, 5850433, 5850432, 5850431, 5850430, 5850429, 5850428, 5850427, 5850426, 5850425, 5850424, 5850423, 5850422, 5850421, 5850420, 5850419, 5850418, 5850417, 5850416, 5850415, 5850414, 5850413, 5850412, 5850411, 5850410, 5850409, 5850408, 5850407, 5850406, 5850405, 5850404, 5850403, 5850402, 5849284, 5849283, 5849282, 5849281, 5849280, 5849279, 5849278, 5849277, 5849276, 5849275, 5849274, 5849273, 5849272, 5849271, 5849270, 5849269, 5849268, 5849267, 5849266, 5849265, 5849264, 5849263, 5849262, 5849261, 5849260, 5849259, 5849258, 5849257, 5849256, 5849255, 5849254, 5849194, 5849193, 5849192, 5849191, 5849190, 5849189, 5849188, 5849187, 5849186, 5849185, 5849184, 5849183, 5849182, 5849181, 5849180, 5849179, 5849178, 5849177, 5849176, 5849175, 5849174, 5849173, 5849172, 5849171, 5849170, 5849169, 5849168, 5849167, 5849166"
445682,"5395112, 5395111, 5395110, 5395109, 5395108, 5395107, 5395106, 5395105, 5395104, 5395103, 5395102, 5395101, 5395100, 5395099, 5395098, 5395097, 5395096, 5395095, 5395094, 5395093, 5395092, 5395091, 5395090, 5395089, 5395088, 5395087, 5395086, 5395085, 5395084, 5395083, 5395082, 5395081, 5395080, 5395079, 5395078, 5395077, 5395076, 5395075, 5395074, 5395073, 5395072, 5395071, 5395070, 5395069, 5395068, 5395067, 5395066, 5395065, 5395064, 5395063, 5395062, 5395061, 5395060, 5395059, 5395058, 5395057, 5395056, 5395055, 5395054, 5395053, 5395052, 5395051, 5395050, 5395049, 5395048, 5395047, 5395046, 5395045, 5395044, 5395043, 5395042, 5395041, 5395040, 5395039, 5395038, 5395037, 5395036, 5395035, 5395034, 5395033, 5395032, 5395031, 5395030, 5395029, 5395028, 5395027, 5395026, 5395025, 5395024, 5395023, 5395022, 5395021, 5395020, 5395019, 5395018, 5395017, 5395016, 5395015, 5395014, 5395013, 5395012, 5395011, 5395010, 5395009, 5395008, 5395007, 5395006, 5395005, 5395004, 5395003, 5395002, 5395001, 5395000, 5394999, 5394998, 5394997, 5394996, 5394995, 5394994, 5394993, 5394992, 5394991, 5394869, 5394868, 5394867, 5394866, 5394865, 5394864, 5394863, 5394862, 5394861, 5394860, 5394859, 5394858, 5394857, 5394856, 5394855, 5394854, 5394853, 5394852, 5394851, 5394850, 5394849, 5394848, 5394847, 5394846, 5394845, 5394844, 5394843, 5394842, 5394841, 5394840, 5394839, 5394838, 5394837, 5394836, 5394835, 5394834, 5394833, 5394832, 5394831, 5394830, 5394829, 5394828, 5394827, 5394826, 5394825, 5394824, 5394823, 5394822, 5394821, 5394820, 5394819, 5394818, 5394817, 5394816, 5394815, 5394814, 5394813, 5394812, 5394811, 5394810, 5394809, 5394808, 5394807, 5394806, 5394805, 5394804, 5394803, 5394802, 5394801, 5394800, 5394799, 5394798, 5394797, 5394796, 5394795, 5394794, 5394793, 5394792, 5394791, 5394790, 5394789, 5394788, 5394787, 5394786, 5394785, 5394784, 5394783, 5394782, 5394781, 5394780, 5394779, 5394778, 5394777, 5394776, 5394775, 5394774, 5394773, 5394772, 5394771, 5394770, 5394769, 5394768, 5394767, 5394766, 5394765, 5394764, 5394763, 5394762, 5394761, 5394760, 5394759, 5394758, 5394757, 5394756, 5394755, 5394754, 5394753, 5394752, 5394751, 5394750, 5394749, 5394748, 5394747, 5394746, 5394745, 5382765, 5382764, 5382763, 5382762, 5382761, 5382760, 5382759, 5382758, 5382757, 5382756, 5382755, 5382754, 5382753, 5382752, 5382751, 5382750, 5382749, 5382748, 5382747, 5382746, 5382745, 5382744, 5382743, 5382742, 5382741, 5382740, 5382739, 5382738, 5382737, 5382736, 5382735, 5382734, 5382733, 5382732, 5382731, 5382730, 5382729, 5382728, 5382727, 5382726, 5382725, 5382724, 5382723, 5382722, 5382721, 5382720, 5382719, 5382718, 5382717, 5382716, 5382715, 5382714, 5382713, 5382712, 5382711, 5382710, 5382709, 5382708, 5382707, 5382706, 5382705, 5382704, 5382703, 5382702, 5382701, 5382700, 5382699, 5382698, 5382697, 5382696, 5382695, 5382694, 5382693, 5382692, 5382691, 5382690, 5382689, 5382688, 5382687, 5382686, 5382685, 5382684, 5382683, 5382682, 5382681, 5382680, 5382679, 5382678, 5382677, 5382676, 5382675, 5382674, 5382673, 5382672, 5382671, 5382670, 5382669, 5382668, 5382667, 5382666, 5382665"
433427,"5611449, 5611448, 5611447, 5611446, 5611445, 5611444, 5611443, 5611442, 5611441, 5611440, 5611439, 5611438, 5611437, 5611436, 5611435, 5611434, 5611433, 5611432, 5611431, 5611430, 5611429, 5611428, 5611427, 5611426, 5611425, 5611424, 5611423, 5611422, 5611421, 5611420, 5611419, 5611418, 5611417, 5611416, 5611415, 5611414, 5611413, 5611412, 5611411, 5611410, 5611409, 5611408, 5611407, 5611406, 5611405, 5611404, 5611403, 5611402, 5611401, 5611400, 5611399, 5611398, 5611397, 5611396, 5611395, 5611394, 5611393, 5611392, 5611391, 5611390, 5611389, 5611388, 5611387, 5611386, 5611385, 5611384, 5611383, 5611382, 5611381, 5611380, 5611379, 5611378, 5611377, 5611376, 5611375, 5611374, 5611373, 5611372, 5611371, 5611370, 5611369, 5611368, 5611367, 5611366, 5611365, 5611364, 5611363, 5611362, 5611361, 5611360, 5611359, 5611358, 5611357, 5611356, 5611355, 5611354, 5611353, 5611352, 5611351, 5611350, 5611349, 5611348"
395557,"4333565, 4333564, 4333563, 4333562, 4333561, 4333560, 4333559, 4333558, 4333557, 4333556, 4333555, 4333554, 4333553, 4333552, 4333551, 4333550, 4333549, 4333548, 4333547, 4333546, 4333545, 4333544, 4333543, 4333542, 4333541, 4333540, 4333539, 4333538, 4333537, 4333536, 4333535, 4333534, 4333533, 4333532, 4333531, 4333530, 4333529, 4333528, 4333527, 4333526, 4333525, 4333524, 4333523, 4333522, 4333521, 4333520, 4333519, 4333518, 4333517, 4333516, 4333515, 4333514, 4333513, 4333512, 4333511, 4333510, 4333509, 4333508, 4333507, 4333506, 4333505, 4333504, 4333503, 4333502, 4333501, 4333500, 4333499, 4333498, 4333497, 4333496, 4333495, 4333494, 4333493, 4333492, 4333491, 4333490, 4333489, 4333488, 4333487, 4333486, 4333485, 4333484, 4333483, 4333482, 4333481, 4333480, 4333479, 4333478, 4333477, 4333476, 4333475, 4333474, 4333473, 4333472, 4333471, 4333470, 4333469, 4333468, 4333467, 4333466, 4333465, 4333464, 4333463, 4333462, 4333461, 4333460, 4333459, 4333458, 4333457, 4333456, 4333455, 4333454, 4333453, 4333452, 4333451, 4333450, 4333449, 4333448, 4333447, 4333446, 4333445, 4333444, 4333443, 4333442, 4333441, 4333440, 4333439, 4333438, 4333437, 4333436, 4333435, 4333434, 4333433, 4333432, 4333431, 4333430, 4333429, 4333428, 4333427, 4333426, 4333425, 4333424, 4333423, 4333422, 4333421, 4333420, 4333419, 4333418, 4333417, 4333416, 4333415, 4333414, 4333413"
