bioproject,sra
393048,"4253765, 4253764, 4253763, 4253762, 4253761, 4253760, 4253759, 4253758, 4253757, 4253756, 4253755, 4253754, 4253753, 4253752, 4253751, 4253750, 4253749, 4253748, 4253747, 4253746, 4253745, 4253744, 4253743, 4253742, 4253741, 4253740, 4253739, 4253738, 4253737, 4253736, 4253735, 4253734, 4253733, 4253732, 4253731, 4253730, 4253729, 4253728, 4253727, 4253726"
383368,"3956921, 3956920, 3956919, 3956918, 3956917, 3956916, 3956915, 3956914, 3956913, 3956912, 3956911, 3956910, 3956909, 3956908, 3956907, 3956906, 3956905, 3956904, 3956903, 3956902, 3956901, 3956900, 3956899, 3956898, 3956897, 3956896, 3956895, 3956894, 3956893, 3956892, 3956891, 3956890, 3956889, 3956888, 3956887, 3956886, 3956885, 3956884, 3956883, 3956882, 3956881, 3956880, 3956879, 3956878, 3956877, 3956876, 3956875, 3956874, 3956873, 3956872, 3956871, 3956870, 3956869, 3956868, 3956867, 3956866, 3956865, 3956864, 3956863, 3956862, 3956861, 3956860, 3956859, 3956858, 3956857, 3956856, 3956855, 3956854, 3956853, 3956852, 3956851, 3956850, 3956849, 3956848, 3956847, 3956846, 3956845, 3956844, 3956843, 3956842, 3956841, 3956840, 3956839, 3956838, 3956837, 3956836, 3956835, 3956834, 3956833, 3956832, 3956831, 3956830, 3956829, 3956828, 3956827, 3956826, 3956825, 3956824, 3956823, 3956822, 3956821, 3956820, 3956819, 3956818, 3956817, 3956816, 3956815, 3956814, 3956813, 3956812, 3956811, 3956810, 3956809, 3956808, 3956807, 3956806, 3956805, 3956804, 3956803, 3956802, 3956801, 3956800, 3956799, 3956798, 3956797, 3956796, 3956795, 3956794, 3956793, 3956792, 3956791, 3956790, 3956789, 3956788, 3956787, 3956786, 3956785, 3956784, 3956783, 3956782, 3956781, 3956780, 3956779, 3956778, 3956777, 3956776, 3956775, 3956774, 3956773, 3956772, 3956771, 3956770, 3956769, 3956768, 3956767, 3956766, 3956765, 3956764, 3956763, 3956762, 3956761, 3956760, 3956759, 3956758, 3956757, 3956756, 3956755, 3956754, 3956753, 3956752, 3956751, 3956750, 3956749, 3956748, 3956747, 3956746, 3956745, 3956744, 3956743, 3956742, 3956741, 3956740, 3956739, 3956738, 3956737, 3956736, 3956735, 3956734, 3956733, 3956732, 3956731, 3956730, 3956729, 3956728, 3956727, 3956726, 3956725, 3956724, 3956723, 3956722, 3956721, 3956720, 3956719, 3956718, 3956717, 3956716, 3956715, 3956714, 3956713, 3956712, 3956711, 3956710, 3956709, 3956708, 3956707, 3956706, 3956705, 3956704, 3956703, 3956702, 3956701, 3956700, 3956699, 3956698, 3956697, 3956696, 3956695, 3956694, 3956693, 3956692, 3956691, 3956690, 3956689, 3956688, 3956687, 3956686, 3956685, 3956684, 3956683, 3956682, 3956681, 3956680, 3956679, 3956678, 3956677, 3956676, 3956675, 3956674, 3956673, 3956672, 3956671, 3956670, 3956669, 3956668, 3956667, 3956666, 3956665, 3956664, 3956663, 3956662"
315256,"3546126, 3546125, 3546124, 3546123, 3546122, 3546121, 2346875, 2341026"
313955,"2312090, 2312089, 2312087, 2312085, 2312083, 2312081, 2312080, 2312076, 2312073, 2312070, 2312007, 2311988, 2311986, 2311985, 2311983, 2311982, 2311981, 2311965, 2311963, 2311897, 2311895, 2311880, 2311842, 2311799, 2311791, 2311732, 2311731, 2311729"
312232,"1757924, 1757849, 1757786, 1757767, 1757766, 1757765, 1757762, 1757761, 1757760, 1757759, 1757658, 1757606, 1757517, 1757460, 1757439, 1757438, 1757437, 1757436, 1757435, 1757381, 1757292, 1757229, 1753522, 1753467"
305803,"2406602, 2406601, 2406600, 2406599, 2406598, 2406597, 2406579, 2406578, 2406577, 2406576, 2406575, 2406574, 2406573, 2406572, 2406552, 2406551, 2406550, 2406549, 2406548, 2406547, 2406546, 2406534, 2406525, 2406516"
301509,"2187956, 2187955, 2187954, 2187953, 2187952, 2187951, 2187950, 2187949, 2187948, 2187947, 2187946, 2187945, 2187944, 2187943, 2187942, 2187941, 2187940, 2187939, 2187938, 2187937, 2187936, 2187935, 2187934, 2187933, 2187932, 2187931, 2187930, 2187929, 2187928, 2187927, 2187926, 2187925, 2187924, 2187923, 2187922, 2187921, 2187920, 2187919, 2187918, 2187917, 2187916, 2187915, 2187914, 2187913, 2187912, 2187911, 2187910, 2187909, 2187908, 2187907, 2187906, 2187905, 2187904, 2187903, 2187902, 2187901, 2187900"
295772,"1794755, 1794754, 1794753, 1794752, 1794751, 1794750, 1794749, 1794748, 1794747, 1794746, 1794745, 1794744, 1794743, 1794742, 1794741, 1794740, 1794739, 1794738, 1794737, 1794736, 1794735, 1794734, 1794733, 1794732, 1794731, 1794730, 1794729, 1794728, 1794727, 1794726, 1794725, 1794724, 1794723, 1794722, 1794721, 1794720, 1794719, 1794718, 1794717"
294421,"2223669, 2223668, 2223667, 2223666, 2223665, 2223664, 2223663, 2223662, 2223661, 2223660, 2223659, 2223658, 2223657, 2223656, 2223655, 2223654, 2223653, 2223652, 2223651, 2223650, 2223649, 2223648, 2223647, 2223646, 2223645, 2223644, 2223643, 2223642, 2223641, 2223640, 2223639, 2223638, 2223637, 2223636, 2223635, 2223634, 2223633, 2223632, 2223631, 2223630, 2223629, 2223628, 2223627, 2223626, 2223625, 2223624, 2223623, 2223622, 2223621, 2223620, 2223619, 2223618, 2223617, 2223616, 2223615, 2223614, 2223613, 2223612, 2223611, 2223610, 2223609, 2223608, 2223607, 2223606, 2223605, 2223604, 2223603, 2223602, 2223601, 2223600, 2223599, 2223598, 2223597, 2223596, 2223595, 2223594, 2223593, 2223592, 2223591, 2223590, 2223589, 2223588, 2223587, 2223586, 2223585, 2223584, 2223583, 2223582, 2223581, 2223580, 2223579, 2223578, 2223577, 2223576, 2223575, 2223574, 2223573, 2223572, 2223571, 2223570, 2223569, 2223568, 2223567, 2223566, 2223565, 2223564, 2223563, 2223562, 2223561, 2223560, 2223559, 2223558, 2223557, 2223556, 2223555, 2223554, 2223553, 2223552, 2223551, 2223550, 2223549, 2223548, 2223547, 2223546, 2223545, 2223544, 2223543, 2223542, 2223541, 2223540, 2223539, 2223538, 2223537, 2223536, 2223535, 2223534, 2223533, 2223532, 2223531, 2223530, 2223529, 2223528, 2223527, 2223526, 2223525, 2223524, 2223523, 2223522, 2223521, 2223520, 2223519, 2223518, 2223517, 2223516, 2223515, 2223514, 2223513, 2223512, 2223511, 2223510, 2223509, 2223508, 2223507, 2223506, 2223505, 2223504, 2223503, 2223502, 2223501, 2223500, 2223499, 2223498, 2223497, 2223496, 2223495, 2223494, 2223493, 2223492, 2223491, 2223490, 2223489, 2223488, 2223487, 2223486, 2223485, 2223484, 2223483, 2223482, 2223481, 2223480, 2223479, 2223478, 2223477, 2223476, 2223475, 2223474, 2223473, 2223472, 2223471, 2223470, 2223469, 2223468, 2223467, 2223466, 2223465, 2223464, 2223463, 2223462, 2223461, 2223460, 2223459, 2223458, 2223457, 2223456, 2223455, 2223454, 2223453, 2223452, 2223451, 2223450, 2223449, 2223448, 2223447, 2223446, 2223445, 2223444, 2223443, 2223442, 2223441, 2223440, 2223439, 2223438, 2223437, 2223436, 2223435, 2223434, 2223433, 2223432, 2223431, 2223430, 2223429, 2223428, 2223427, 2223426, 2223425, 2223424, 2223423, 2223422, 2223421, 2223420, 2223419, 2223418, 2223417, 2223416, 2223415, 2223414, 2223413, 2223412, 2223411, 2223410, 2223408, 2223407, 2223406, 2223405, 2223404, 2223403, 2223402, 2223401, 2223400, 2223399, 2223398, 2223397, 2223396, 2223395, 2223394, 2223393, 2223392, 2223391, 2223390, 2223389, 2223388, 2223387, 2223386, 2223385, 2223384, 2223383, 2223382, 2223381, 2223380, 2223379, 2223378, 2223377, 2223376, 2223375, 2223374, 2223373, 2223372, 2223371, 2223370, 2223369, 2223368, 2223367, 2223366, 2223365, 2223364, 2223363, 2223362, 2223361, 2223360, 2223359, 2223358, 2223357, 2223356, 2223355, 2223354, 2223353, 2223352, 2223351, 2223350, 2223349, 2223348, 2223347, 2223346, 2223345, 2223344, 2223343, 2223342, 2223341, 2223340, 2223339, 2223338, 2223337, 2223336, 2223335, 2223334, 2223333, 2223332, 2223331, 2223330, 2223329, 2223328, 2223327, 2223326, 2223325, 2223324, 2223323, 2223322, 2223321, 2223320, 2223319, 2223318, 2223317, 2223316, 2223315, 2223314, 2223313, 2223312, 2223310, 2223309, 2223308, 2223307, 2223306, 2223305, 2223304, 2223303, 2223302, 2223301, 2223300, 2223299, 2223298, 2223296, 2223295, 2223294, 2223293, 2223292, 2223291, 2223290, 2223289, 2223288, 2223287, 2223286, 2223285, 2223284, 2223283, 2223282, 2223281, 2223280, 2223279, 2223278, 2223277, 2223276, 2223275, 2223274, 2223273, 2223272, 2223271, 2223270, 2223269, 2223268, 2223267, 2223266, 2223265, 2223264, 2223263, 2223262, 2223261, 2223260, 2223259, 2223258, 2223257, 2223256, 2223255, 2223254, 2223253, 2223252, 2223251, 2223250, 2223249, 2223248, 2223247, 2223246, 2223245, 2223244, 2223243, 2223242, 2223241, 2223240, 2223239, 2223238, 2223237, 2223236, 2223235, 2223234, 2223233, 2223232, 2223231, 2223230, 2223229, 2223228, 2223227, 2223226, 2223225, 2223224, 2223223, 2223222, 2223221, 2223220, 2223219, 2223218, 2223217, 2223216, 2223215, 2223214, 2223213, 2223212, 2223211, 2223210, 2223209, 2223208, 2223207, 2223206, 2223205, 2223204, 2223203, 2223202, 2223201, 2223200, 2223199, 2223198"
287069,"1561361, 1561360, 1561359, 1561358, 1561357, 1561356, 1561355, 1561354, 1561353, 1561352, 1561351, 1561350, 1561349, 1561348, 1561347, 1561346, 1561345, 1561344, 1561343, 1561342, 1561341, 1561340, 1561339, 1561338, 1561337"
279206,"1411024, 1411023, 1411022, 1411021, 1411020, 1411019, 1411018, 1411017, 1411016, 1411015, 1411014, 1411013, 1411012, 1411011, 1411010, 1411009, 1411008, 1411007, 1411006, 1411005, 1411004, 1411003, 1411002, 1411001, 1411000, 1410999, 1410998, 1410997, 1410996, 1410995, 1410994, 1410993, 1410992, 1410991, 1410990, 1410989, 1410988, 1410987, 1410986, 1410985, 1410984, 1410983, 1410982, 1410981, 1410980, 1410979, 1410978, 1410977, 1410976, 1410975, 1410974, 1410973, 1410972, 1410971, 1410970, 1410969, 1410968, 1410967, 1410966, 1410965, 1410964, 1410963, 1410962, 1410961, 1410960, 1410959, 1410958, 1410957, 1410956, 1410955, 1410954, 1410953, 1410952, 1410951, 1410950, 1410949, 1410948, 1410947, 1410946, 1410945, 1410944, 1410943, 1410942, 1410941, 1410940, 1410939, 1410938, 1410937, 1410936, 1410935, 1410934, 1410933, 1410932, 1410931, 1410930, 1410929, 1410928, 1410927, 1410926, 1410925, 1410924, 1410923, 1410922, 1410921, 1410920, 1410919, 1410918, 1410917, 1410916, 1410915, 1410914, 1410913, 1410912, 1410911, 1410910, 1410909, 1410908, 1410907, 1410906, 1410905, 1410904, 1410903, 1410902, 1410901, 1410900, 1410899, 1410898, 1410897, 1410896, 1410895, 1410894, 1410893, 1410892, 1410891, 1410890, 1410889, 1410888, 1410887, 1410886, 1410885, 1410884, 1410883, 1410882, 1410881, 1410880, 1410879, 1410878, 1410877, 1410876, 1410875, 1410874, 1410873, 1410872, 1410871, 1410870, 1410869, 1410868, 1410867, 1410866, 1410865, 1410864, 1410863, 1410862, 1410861, 1410860, 1410859, 1410858, 1410857, 1410856, 1410855, 1410854, 1410853, 1410852, 1410851, 1410850, 1410849, 1410848, 1410847, 1410846, 1410845, 1410844, 1410843, 1410842, 1410841, 1410840, 1410839, 1410838, 1410837, 1410836, 1410835, 1410834, 1410833, 1410832, 1410831, 1410830, 1410829, 1410828, 1410827, 1410826, 1410825, 1410824, 1410823, 1410822, 1410821, 1410820, 1410819, 1410818, 1410817, 1410816, 1410815, 1410814, 1410813, 1410812"
279151,"1414058, 1414057, 1414055, 1414054, 1414053, 1414052, 1414051, 1414050, 1414049, 1414047, 1414046, 1414045, 1414044, 1414043, 1414041, 1414039, 1414038, 1414037, 1414036, 1414034, 1414032, 1414030, 1414029, 1414023"
278790,"1368975, 1368974, 1368973, 1368972, 1368971, 1368970, 1368969, 1368968, 1368967, 1368966, 1368965, 1368964, 1368963, 1368962, 1368961, 1368960, 1368959, 1368958, 1368957, 1368956, 1368955, 1368954, 1368953, 1368952, 1368951, 1368950, 1368949, 1368948, 1368947, 1368946, 1368945, 1368944, 1368943, 1368942, 1368941, 1368940, 1368939, 1368938, 1368937, 1368936, 1368935, 1368934, 1368933, 1368932, 1368931, 1368930, 1368929, 1368928, 1368927, 1368926, 1368925, 1368924, 1368923, 1368922, 1368921, 1368920"
272960,"1229109, 1229108, 1229106, 1229100, 1229096, 1229091"
271665,"1175801, 1175800, 1175799, 1175798, 1175797, 1175796, 1175795, 1175794, 1175793, 1175792, 1175791, 1175790, 2865563, 2865562, 2865561, 2865560, 2865559, 2865558, 2865557, 2865556, 2865555, 2865554"
269925,"1153193, 1153192, 1153191, 1153190, 1153189, 1153188"
260018,"970366, 970365, 970364, 970363, 970362, 970361, 970360, 970359, 970358, 970357, 970356, 970355, 970354, 970353, 970352, 970351, 970350, 970349, 970348, 970347, 970346, 970345, 970344, 970343, 970342, 970341, 970340, 970339, 970338, 970337, 970336, 970335, 970334, 970333, 970332, 970331, 970330, 970329, 970328, 970327, 970326, 970325, 970324, 970323, 970322, 970321, 970320, 970319, 970318, 970317, 970316, 970315, 970314, 970313, 970312, 970311, 970310, 970309, 970308, 970307, 970306, 970305, 970304, 970303, 970302, 970301, 970300, 970299, 970298, 970297, 970296, 970295, 970294, 970293, 970292, 970291, 970290, 970289, 970288, 970287, 970286, 970285, 970284, 970283, 970282, 970281, 970280, 970279, 970278, 970277, 970276, 970275, 970274, 970273, 970272, 970271, 970270, 970269, 970268, 970267, 970266, 970265, 970264, 970263, 970262, 970261, 970260, 970259, 970258, 970257, 970256, 970255, 970254, 970253, 970252, 970251, 970250, 970249, 970248, 970247, 970246, 970245, 970244, 970243, 970242, 970241, 970240, 970239, 970238, 970237, 970236, 970235, 970234, 970233, 970232, 970231, 970230, 970229, 970228, 970227, 970226, 970225, 970224, 970223, 970222, 970221, 970220, 970219, 970218, 970217, 970216, 970215, 970214, 970213, 970212, 970211, 970210, 970209, 970208, 970207, 970206, 970205, 970204, 970203, 970202, 970201, 970200, 970199, 970198, 970197, 970196, 970195, 970194, 970193, 970192, 970191, 970190, 970189, 970188, 970187, 970186, 970185, 970184, 970183"
253081,859207
248184,"834658, 834657, 834656, 834655, 834654, 834653, 834652, 834651, 834650, 834649, 834648, 834647"
241433,"687342, 687341, 684389, 684388, 684387, 684386, 684385, 684384, 684383, 684382, 684381, 684380, 684379, 684378, 684377, 684376, 684375, 684374, 684373, 684248"
210730,"445978, 445977, 445976, 445975, 445974, 445973, 445972"
178127,"309692, 309691, 309690, 309689, 309688, 309687, 309686, 309685, 309684, 309683, 309682, 309681, 309680, 309679, 309678, 309677, 309676, 309675, 309674, 309673, 309672, 309671, 309670, 309669, 309668, 309667, 309666, 309665, 309664, 309663, 309662, 309661, 309660, 309659, 309658, 309656"
